hobby,cluster
Language workshops (Telugu),-1
Playing the organ,65
drawing and sharing artwork,27
Looking at high‑contrast patterns,-1
Hiking (Palo Duro Canyon and local trails),71
Blood‑drive assistance,-1
Basketball (street and organized),52
Ice skating (solo),-1
Observing small groups of children,54
Baking and sharing treats,22
Blogging about local murals,90
"Red Light, Green Light",-1
Using social media to stay connected and organize events,-1
Board member for local nonprofit,-1
singing along to Dominican songs,30
preschool art circle,-1
Korean language practice,4
storytelling evenings,47
Watching eSports tournaments,-1
Exploring sustainable farming practices,83
Caring for family pets,50
"Model kit building (RC drones, vintage radios)",63
Collecting Vintage Maps,61
Set Design,-1
Playing violin in a community orchestra,-1
Senior golf,1
Gardening (especially bonsai and vegetable patches),44
hiking in the Catskills,71
Reading scientific journals on dental and optical technology,-1
Target shooting,16
Listening to indie rock and Portuguese fado,-1
Mechanical puzzles,-1
Biking around Brooklyn,70
Family cooking during Lunar New Year,-1
Polynesian Dance & Drumming,95
Coffee shop socializing,64
Photography collection,76
Digital tools learning,-1
Experimental herb cooking,-1
Tinkering with truck telematics,63
Road trips to the Smokies,92
Handcrafted Décor,-1
Community garden mentorship,-1
"Playing construction simulation video games (e.g., Cities: Skylines)",-1
College Basketball Fan,-1
"Food preservation (jams, jellies, specialty breads)",-1
Rattles and musical toys,18
Reading (horticulture and modern art),86
learning sustainable living practices,-1
Photography workshops,-1
Philosophy contemplation,11
Urban exploring,-1
Playing bouzouki informally,-1
Participating in Clinton County fair’s Tools of the Trade exhibit,98
Interactive music and button toys,31
Traveling to Spain,92
Hiking the C&O Canal Trail,71
Environmental club activities,10
Volunteer river clean‑up,7
Side‑project coding,-1
Following stock market news,-1
Cycling around Boston Harbor and Dorchester neighborhoods,70
Exploring online forums about unconventional ideas and emerging art,101
Cooing and vocal play,18
Storytelling for school cultural events,47
Reading Gujarati literature,-1
"Attending adult‑education classes (pottery, computer basics)",96
Digital photo archiving,77
riding his bike on familiar routes,-1
Backcountry hiking,72
Reading Spanish‑language Newspaper,94
Pretend kitchen play with family,59
Urdu poetry,0
Track & field (400‑meter dash),29
Volunteering at Texas African American Museum,81
Exploring historic towns in Ohio,89
Exploring Medical Ethics Literature,-1
Community service with local cultural association,-1
Playing jazz piano and synthesizer experimentation,28
Following Spanish football (soccer),-1
Shooting range practice,16
Collecting vintage eyeglass frames,-1
Reading automotive magazines,32
Playing with pets,84
Sketching mandala patterns,-1
Walking on Lindsay Trails,69
Organizing school supplies and personal space,34
Drag racing,-1
Basic Vietnamese language practice with family,31
Exploring smart‑farming tech like drones,-1
Tailgate parties at football games,97
coding simple personal webpages,-1
Reading science fiction and futurism,-1
Traveling on personal flights,93
Fishing at the Brandywine Creek,49
Cooking Cantonese cuisine,20
Fishing on Long Island Sound,49
Dungeons & Dragons,-1
car lining,-1
Leading a monthly drawing circle at the public library,-1
"Participating in group games like Duck, Duck, Goose",102
socializing with peers,100
Experimenting with personal finance apps,-1
Weekend Soccer,39
"Simple science kits (e.g., volcano eruption)",-1
Participating in senior engineering mentorship clubs,102
Learning regional Mexican dialects and folk stories,43
Organizing study schedules,34
Therapeutic garden sessions for seniors,-1
Traveling to barrier islands,92
Quiet observation of family,54
Nature hikes in the Texas Panhandle,71
group play with peers and family,100
Productivity & logistics reading,46
Hiking the Ice Age Trail,71
Indie game jam involvement,-1
Reading YA novels focused on mental health,-1
Motorcycle riding on Michigan state routes,-1
Baseball fandom,55
Reading Urban Planning and Economics Books,-1
Traveling to explore global health traditions,92
Pool (billiards),12
Attending Houston Astros games,97
Playing djembe drums,-1
Hiking the Camuy cave system,71
Racquetball,12
Ham radio operation,-1
watching classic film noir,13
Walking in Oak Mountain State Park,68
Social interaction with caregivers,84
Organizing community art pop‑ups,-1
Attending bomba and plena performances,-1
"pretend play (mini art gallery, tea parties)",59
soft ball play with parent,12
Craft cocktail mixing,45
Marksmanship,16
Learning French,-1
Touching soft fabrics and plush toys,-1
Wood‑turning,15
visiting indie breweries,64
Hiking the trails around Portage County,71
binge‑watching streaming series,-1
"Digital literacy (photography, video calls)",-1
singing familiar songs,30
Bike tinkering,73
Following Dallas Mavericks and Texas Rangers,-1
Watercolor studies en plein air,-1
Electronics restoration,63
Attending Live Music in Downtown St. Petersburg,-1
Makerspace volunteering,63
Volunteering at Polynesian Cultural Center,81
Attending Atlanta Braves baseball games,97
vintage clock restoration,61
Learning about Ecuadorian literature,-1
Fantasy Football,-1
Attending truck and diesel vehicle meetups,60
Reading nonfiction on ecology and crafts,-1
Small programming meetups,-1
Collecting Vintage Scientific Instruments,61
Exploring Hudson County food scene,-1
Walking along the Erie Canal,79
stage design,-1
Running (3–5 miles),29
baby tambourine shaking,18
Group lullabies and storytime,43
Reading magical realism and Cuban folklore,86
Logic games,36
Participating in automotive forums,102
turning pages of picture books and naming objects,37
Attending tech meetups on AI and VR,75
Teaching critical-thinking workshops to teens,-1
Building Raspberry Pi IoT projects,63
Reading East Asian literature,13
Hiking in the Organ Mountains,71
Scratch Jr. storytelling,-1
Cooking recipes from Central European heritage,20
Green Bay Packers fandom,-1
Mentoring law students from underrepresented backgrounds,96
reading practical guides on textile care,33
Virtual reality (VR) design exploration,-1
Photography (long‑exposure surf and architecture),-1
Helping with Applefest organization and clean‑up,-1
"Reading (art history, Cuban literature, business innovation)",86
Reading about new testing technologies,103
Shooting sports,16
Exploring new neighborhoods and food scenes,89
Attending Peoria Riverfront Festival,98
Digital photography and social media content creation,-1
model engine restoration,53
Exploring historic towns in South Texas,89
Vlogging and social media content creation,-1
stroller walks in nature,-1
Following AI and blockchain tech blogs,-1
College Football (Alabama Crimson Tide),-1
Data‑science tutorials,-1
Guest speaking at schools,91
Following NBA and NFL games,52
Digital collage creation,-1
Traveling to international art and law conferences,92
Learning about sustainable aviation technologies,-1
Hiking the Metacomet Trail,71
Traveling with outdoor focus,93
Preschool circle time,-1
Walking along the St. Joseph River,79
Playing the bandoneón,65
Attending Space Coast launch events,-1
Caring for family’s pet chickens,50
Collecting Vintage Watches,61
Attending public lectures on renewable energy,91
Playing with a toy xylophone,84
Goal‑tracking journal,-1
Walking in Eagle Creek Park,68
Maker-space 3D-printing meet-ups,-1
Fly‑fishing on the Río Culebrinas,49
Collecting vintage cookbooks,61
Gentle rocking,43
Boardwalk festival participation,-1
Attending Live Music in Asbury Park,-1
Playing peek‑aboo with caregivers,-1
Street poetry,-1
Weekend brunch gatherings,-1
Museum Workshop Facilitation,-1
collage and craft activities,-1
Tap dancing,-1
Walking in Herrick Lake Forest Preserve,68
Science fair judging,-1
Volunteer tax counseling for Salvadoran community,-1
teaching needlework,-1
Traveling (Japan and domestic trips),92
Experimenting with digital creativity tools,-1
Exploring Miami’s multicultural neighborhoods,89
Thrift-store hunting for vintage clothing,-1
"""Simon Says"" game",-1
Virtual Science Lectures,-1
Traveling to Latin America,92
Morning runs along the Schuylkill River,-1
Rugby,-1
Attending Irion County fair and rodeo,98
Hiking and nature walks in Erie County,71
Attending Tampa Bay Buccaneers games,97
Precision baking,-1
Charity runs supporting crime victims,-1
Women’s social club participation,-1
"Reading historical non‑fiction (Dutch‑American migration, Midwestern history)",51
Small engine restoration,53
Reading biographies of inspirational women,-1
Exploring renewable energy technologies,33
Participating in the Port Orange Historical Society,102
learning about new health technologies,103
Minecraft world creation,3
Playing with stacking cubes,85
simple imitation games,-1
Playing hopscotch,56
Raspberry Pi tinkering and app development,63
Hiking in Wissahickon Valley,71
Studying Mandarin characters,-1
Project car customization,53
Mindful knitting and walking in local parks,-1
Cycling around Skagit County,70
Backcountry skiing,72
Hiking in Lehigh Valley,71
"Exploring new technology (e‑readers, tablets)",104
Participating in emergency preparedness drills,-1
Tracking moving mobiles,99
Online webinars on health technology,87
Home‑brewing amber ale,-1
Attending health policy seminars and webinars,87
"Online courses on abstract concepts (e.g., quantum theory, modern art)",-1
Playing Native American flute,-1
Reading medical imaging advancements,-1
gentle dog interaction,-1
"cooking family recipes (phở, lumpia)",21
Hiking in Contra Costa trails,71
Weekend trips to Puerto Rico,-1
Volunteering at the Jasper Historical Society,81
Walking in Birmingham Botanical Gardens,-1
Lake Sunapee Hiking,-1
"Learning new programming languages (e.g., Rust)",-1
Reading New England history,51
Python finance automation,-1
4‑H animal projects,19
Road trips to Cheaha State Park and nearby cities,92
Reading devotional books,-1
Hiking in the White Mountains,71
Reading about space and myths,66
Hiking the Shoals River trail,71
Library reading challenges,-1
"Hawaiian cooking (poke, laulau)",21
Cooking (Hawaiian and Balkan dishes),21
Coffee‑shop culture and café sketching,-1
Snap Circuits projects,-1
school cheerleading,-1
Building birdhouses,-1
Reflective blogging on science and faith,-1
Data visualization side projects,-1
Coding fitness data analysis scripts,-1
Adult‑education classes on technology and sustainability,96
Archival work with Cortland Historical Society,-1
Attending Milwaukee Brewers baseball games,97
Running (structured training),29
Sailing on Hubbard Lake,23
Volunteer heating assistance program for seniors,-1
Blogging about restaurant experiences,-1
photograph reviewing and family storytelling,76
Exploring Salem’s Historic Sites,89
baseball catching,55
Philosophical discussions,11
playing congas,-1
Arduino lighting projects,-1
Leading a social‑justice book club,-1
Hiking in Griffith Park,71
attending Texas State Fair,98
watching Hong Kong cinema,-1
Running in Hermann Park and charity 5K events,29
Exploring Cryptocurrency Basics,-1
Civilization VI,-1
Go (board game),-1
playing with texture boards,-1
Reading about Emerging Technology,103
Playing Lotería,-1
AI‑assisted Creative Writing,-1
Hiking the Marin Headlands,71
Exploring new ideas over coffee with friends,101
Collecting Nautical Artifacts,-1
Organizing teacher book‑exchange circles,-1
self‑guided programming tutorials,-1
Walking on Swamp Rabbit Trail,69
Cycling around Beaverton,70
Writing for community newspaper,-1
3D modeling,-1
Baking classic family recipes and jam preservation,22
Traveling to India,92
Football (linebacker),-1
Crawling in the backyard garden,-1
Learning basic UI/UX design,-1
Marching band,-1
Hiking in North Georgia,71
Hiking in Red Rock Canyon,71
"Structured playground games (Simon Says, Red Light/Green Light)",-1
"Exploring nature (woods, ponds, coastline) with a magnifying glass",-1
gentle dance and movement activities,-1
Imitating caregiver gestures,24
Reading technical articles on machining and automation,33
