canonical,variations
playing dominoes,"['playing dominoes', 'Playing badminton']"
genealogy research,"['genealogy research', 'Genealogy research']"
solving crossword puzzles,"['solving crossword puzzles', 'Sudoku and crossword puzzles']"
Travel and culinary exploration,['Travel and culinary exploration']
reading urban fantasy,['reading urban fantasy']
Cultural Event Organization,"['Community Event Organization', 'Cultural Event Organization']"
Photography,"['Photography', 'photography']"
Urban photography,"['Nature photography', 'Digital photography', 'Urban photography', 'Landscape photography', 'Macro photography', 'Street art photography']"
Community festival volunteering,"['Community volunteering (tech tutoring)', 'Volunteering at community festivals', 'Community festival volunteering']"
cooking Mexican cuisine and fusion dishes,"['cooking Mexican cuisine and fusion dishes', 'Cooking Mexican dishes with creative twists']"
Reading architectural journals and classic literature,['Reading architectural journals and classic literature']
Golf,"['Golf', 'yoga', 'Yoga']"
Church choir,['Church choir']
Family potlucks and community food sharing,['Family potlucks and community food sharing']
Nature walks around Spirit Lake,['Nature walks around Spirit Lake']
Local live‑music events and jam sessions,"['Live music concerts and local jam sessions', 'Local live‑music events and jam sessions']"
Women’s social club participation,['Women’s social club participation']
Model kit assembly,['Model kit assembly']
Church choir singing,"['Singing in church choir', 'Church choir singing']"
Karaoke with friends,"['Karaoke with friends', 'Volleyball with friends']"
Creative Writing (Short Stories),['Creative Writing (Short Stories)']
car restoration,"['Vintage car restoration', 'vintage car restoration', 'Classic car restoration', 'car restoration']"
Hiking local trails,"['Hiking local trails', 'Walking local nature trails', 'Hiking on local trails']"
Attending Filipino and Vietnamese cultural festivals,['Attending Filipino and Vietnamese cultural festivals']
Volunteer Driving for Church Events,['Volunteer Driving for Church Events']
Listening to music,"['Listening to music while drawing', 'Listening to music', 'listening to music']"
Exploring street art,['Exploring street art']
Reading popular science and historical non-fiction,['Reading popular science and historical non-fiction']
"Woodworking small projects (birdhouses, carved spoons)","['Woodworking small projects (birdhouses, carved spoons)']"
Reading historical biographies,"['Reading historical biographies', 'reading historical biographies', 'Reading Historical Biographies']"
Collecting Vintage Cameras,"['Collecting vintage postcards', 'Collecting Vintage Cameras']"
Model train building,"['Model building (RC cars)', 'Model train building']"
Journaling,"['Daily journaling', 'Journaling', 'Bullet journaling', 'bullet journaling']"
Book club,"['drama club', 'Book club']"
Hiking the Superstition Mountains,['Hiking the Superstition Mountains']
Simple science experiments,"['Simple science experiments', 'conducting simple science experiments']"
"Listening to jazz, soul, and R&B","['Listening to jazz, soul, and R&B', 'Listening to jazz, neo‑soul, and classic R&B']"
Reading science‑fiction and tech podcasts,"['Reading science‑fiction and tech podcasts', 'Reading science‑fiction and tech non‑fiction']"
Attending tech meetups,['Attending tech meetups']
Reading historical novels,"['historical fiction reading', 'Historical nonfiction reading', 'reading historical fiction', 'Reading historical fiction', 'Reading Historical Fiction', 'Reading historical novels']"
Baking and preserving,['Baking and preserving']
Listening to boleros and cumbia music,"['Listening to boleros and mariachi music', 'Listening to boleros and cumbia music']"
volunteering at community events,"['volunteering at community events', 'Volunteering as a community tutor', 'volunteering at community center', 'Volunteering at a community garden', 'Volunteering at community center', 'Volunteering at community safety fairs', 'Volunteering at community centers']"
Crossword Puzzles,"['Crossword Puzzles', 'crossword puzzles', 'Crossword puzzles']"
Social dancing (hip‑hop and lyrical),['Social dancing (hip‑hop and lyrical)']
Wine tasting,"['Cooking and wine tasting', 'Wine tasting']"
visiting museums,"['visiting museums', 'Visiting art museums']"
Desert gardening,"['Desert gardening', 'Backyard gardening', 'Community gardening']"
Jigsaw puzzles,"['Simple jigsaw puzzles', 'Jigsaw puzzles']"
Volunteering at animal shelter,"['Volunteering at animal shelter', 'Volunteering at an animal shelter', 'volunteering at animal shelter']"
Reading crime thrillers,['Reading crime thrillers']
Reading contemporary African American literature,['Reading contemporary African American literature']
scribbling with crayons,['scribbling with crayons']
Native Texas gardening,['Native Texas gardening']
Ballet Folklórico dance,['Ballet Folklórico dance']
listening to stories,"['listening to storybooks', 'listening to stories']"
Reading Business & Non-fiction Books,['Reading Business & Non-fiction Books']
Vegetable Gardening,"['Vegetable Gardening', 'Vegetable gardening', 'vegetable gardening']"
Listening to diverse music,"['Listening to folk/indie music', 'Listening to mariachi music', 'Listening to diverse music']"
attending open‑mic nights,['attending open‑mic nights']
Maker‑space tinkering,['Maker‑space tinkering']
Classical Music Listening,"['Classical Music Listening', 'Classical music listening']"
visiting art galleries,"['Visiting art galleries and murals', 'Visiting museums and art galleries', 'Visiting art galleries and museums', 'Visiting museums and galleries', 'visiting art galleries and museums', 'visiting art galleries', 'Visiting galleries and museums', 'Visiting art galleries']"
Attending community theater,"['Attending community theater', 'attending community festivals']"
beach walks,"['beach walks', 'Beach Walking']"
Mindfulness meditation,"['Yoga and mindfulness meditation', 'Mindfulness meditation', 'mindfulness meditation']"
Weekend hiking trips,['Weekend hiking trips']
Cooking Southern cuisine,"['Cooking Southern cuisine', 'Cooking southwestern cuisine']"
Building sandcastles,['Building sandcastles']
Habitat for Humanity volunteering,['Habitat for Humanity volunteering']
Hiking in Contra Costa trails,['Hiking in Contra Costa trails']
Speculative Fiction Reading,"['Speculative Fiction Reading', 'Speculative fiction reading', 'Reading speculative fiction']"
Jazz piano,['Jazz piano']
Lego building,"['model building', 'Lego building', 'LEGO building']"
Knitting and crochet,"['Knitting and crocheting', 'Knitting and crochet', 'Quilting and crocheting']"
"Cooking traditional Central Asian dishes (plov, manty)","['Cooking traditional Central Asian dishes (plov, manty)']"
Fishing,"['Fishing', 'Fly-fishing', 'River fishing', 'fishing']"
Photography of urban infrastructure,['Photography of urban infrastructure']
collecting leaves and rocks,"['collecting leaves and rocks', 'collecting leaves and shells']"
Watching nature documentaries,['Watching nature documentaries']
Traveling to Latin America,['Traveling to Latin America']
Baking precise pastries,['Baking precise pastries']
"Listening to R&B, hip‑hop, and Zydeco music","['Listening to R&B, hip‑hop, and Zydeco music']"
Board‑game nights,"['Board‑game nights with friends', 'Board‑game nights']"
community volunteering,"['community volunteering', 'Community volunteer activities', 'Community event volunteering', 'community volunteer painting']"
Hiking on Monte Sano trails,['Hiking on Monte Sano trails']
Reading contemporary fiction,"['Reading contemporary fiction and non-fiction', 'Reading contemporary fiction']"
Cooking with spouse,"['Cooking with spouse', 'Walking with spouse']"
Beadwork,"['Beadwork', 'Woodworking', 'woodworking']"
Minecraft,['Minecraft']
Photography of rural landscapes,"['Photography of birds and landscapes', 'Photography of rural landscapes', 'Photography of urban landscapes']"
Herb and vegetable gardening,"['Herb and vegetable gardening', 'Gardening (herbs and vegetables)', 'Gardening (vegetable and herb garden)', 'Gardening (vegetables and herbs)']"
exploring nature,"['exploring nature', 'Nature exploration', 'exploring textures']"
Industrial sketching,['Industrial sketching']
Dancing to Latin music,['Dancing to Latin music']
live music concerts,"['live music concerts', 'Live Music & Concerts', 'Live music concerts']"
Cooking Southern‑Black fusion dishes,['Cooking Southern‑Black fusion dishes']
Sailing lessons,['Sailing lessons']
Charity Running Events,['Charity Running Events']
Cooking (exploring diverse cuisines),['Cooking (exploring diverse cuisines)']
Small senior book-club,['Small senior book-club']
Digital illustration,"['Digital illustration', 'digital illustration']"
Church study groups and potlucks,['Church study groups and potlucks']
drawing and coloring,"['Painting and coloring', 'drawing and coloring', 'Drawing and coloring']"
Game nights (board games & video games),['Game nights (board games & video games)']
Puzzles and Sudoku,"['Puzzles and Sudoku', 'Solving Sudoku puzzles']"
Community maker workshops,['Community maker workshops']
Acrylic painting,"['Acrylic painting', 'Oil Painting & Acrylics', 'Painting with acrylics']"
Independent film appreciation,['Independent film appreciation']
Science Fiction & Fantasy Reading,['Science Fiction & Fantasy Reading']
listening to salsa and plena music,"['listening to salsa and plena music', 'Listening to bomba, plena, and salsa music']"
Puzzles,['Puzzles']
Church choir participation,"['Church choir participation', 'Participating in church choir']"
group games like hide‑and‑seek,['group games like hide‑and‑seek']
Singing lullabies,['Singing lullabies']
Listening to classic rock music,"['Listening to blues and classic rock music', 'Listening to classic rock and blues', 'Listening to classic rock music']"
watching Boston Red Sox games,['watching Boston Red Sox games']
Building towers with wooden blocks,['Building towers with wooden blocks']
Board game evenings with friends,"['Board-game evenings with close friends', 'Board game evenings with friends']"
Yoga and mindfulness,"['Yoga and mindfulness journaling', 'Yoga and mindfulness']"
Hiking New England trails,['Hiking New England trails']
Exploring nature and collecting specimens,['Exploring nature and collecting specimens']
Cooking modern soul food,['Cooking modern soul food']
Baking and pastry crafting,"['Baking and pastry crafting', 'Baking breads and pastries']"
Small‑Group Church Fellowship,['Small‑Group Church Fellowship']
walking on the beach,"['Hiking and beach walks', 'walking on the beach']"
Reading true crime and emergency services literature,['Reading true crime and emergency services literature']
building block towers,['building block towers']
Cooking new cuisines,"['Cooking Tex-Mex cuisine', 'Cooking Indian cuisine', 'Cooking new cuisines', 'Cooking Ecuadorian cuisine', 'Cooking Cuban cuisine', 'Cooking Salvadoran cuisine']"
DIY home‑decor and upcycling projects,['DIY home‑decor and upcycling projects']
listening to Mexican lullabies,['listening to Mexican lullabies']
Mindfulness exercises,['Mindfulness exercises']
Art gallery visits,"['Contemporary art gallery visits', 'Art gallery visits']"
Photography of Jacksonville’s cityscape and nature,['Photography of Jacksonville’s cityscape and nature']
Raspberry Pi home‑automation projects,['Raspberry Pi home‑automation projects']
Shape‑sorter puzzles,['Shape‑sorter puzzles']
Volunteering at cultural festivals,"['Volunteering at cultural festivals', 'Volunteering at Southeast Asian cultural festivals', 'Volunteering at Cuban cultural festivals']"
Sketching and painting (mixed media),['Sketching and painting (mixed media)']
Experimental music composition,"['Experimental music composition', 'Listening to experimental music']"
Comic strip creation,['Comic strip creation']
Crayon drawing,['Crayon drawing']
building with LEGO,"['building with LEGO', 'building LEGO sets', 'Building LEGO sets']"
Volunteering at church and senior center events,"['Volunteering at church and senior center events', 'volunteering at community events and youth programs']"
soccer,['soccer']
Cooking Korean and Japanese dishes,['Cooking Korean and Japanese dishes']
Scratch coding,['Scratch coding']
Seasonal holiday decorating,['Seasonal holiday decorating']
Southeast Asian cooking,['Southeast Asian cooking']
Attending jazz concerts,"['Attending jazz concerts', 'Attending music concerts', 'Attending indie‑music concerts']"
Photography of Long Island shoreline,['Photography of Long Island shoreline']
"Attending cultural festivals (Navruz, local fairs)","['Attending cultural festivals (Navruz, local fairs)']"
Singing and dancing to nursery rhymes,['Singing and dancing to nursery rhymes']
Cooking traditional Mexican dishes,"['Cooking traditional Southeast Asian dishes', 'Cooking traditional Mexican dishes', 'Cooking traditional Ecuadorian dishes']"
Reading self-help books,['Reading self-help books']
cooking family soul‑food recipes,['cooking family soul‑food recipes']
Attending live music and open‑mic events,['Attending live music and open‑mic events']
Yoga and guided meditation,['Yoga and guided meditation']
Science‑fiction reading,"['Science‑fiction reading', 'Reading science fiction']"
Practicing mindfulness and yoga to manage anxiety,['Practicing mindfulness and yoga to manage anxiety']
Grilling and soul‑food cooking,['Grilling and soul‑food cooking']
Journaling for stress relief,"['Journaling for stress management', 'Journaling for stress relief']"
Volunteer work at historical society,"['Historical preservation volunteer work', 'Volunteer work at historical society']"
Scratch Jr. storytelling,['Scratch Jr. storytelling']
Arduino/Raspberry Pi tinkering,['Arduino/Raspberry Pi tinkering']
Hiking in the Adirondacks,['Hiking in the Adirondacks']
Gardening,"['Gardening herbs', 'Gardening', 'gardening']"
Watching short educational cartoons about animals and vehicles,['Watching short educational cartoons about animals and vehicles']
Traveling to India,['Traveling to India']
quiet solitary play,['quiet solitary play']
Small‑group socializing,['Small‑group socializing']
Listening to classical and instrumental music,"['Listening to classic Spanish boleros and rancheras', 'Listening to classical and instrumental music']"
Gardening succulent plants,['Gardening succulent plants']
Attending small community book clubs,"['Attending small community book clubs', 'Attending small community cultural events']"
Cooking Puerto Rican dishes,"['Cooking Puerto Rican dishes', 'cooking Puerto Rican cuisine']"
Coffee tasting and brewing experiments,['Coffee tasting and brewing experiments']
Classic movies,"['Classic R&B movies', 'Classic movies']"
Small‑group book club (Mexican history),['Small‑group book club (Mexican history)']
Short animated videos about building and tools,['Short animated videos about building and tools']
Volunteering at local food drives,['Volunteering at local food drives']
Live Music,['Live Music']
Hiking the C&O Canal Trail,['Hiking the C&O Canal Trail']
Cooking Southern Soul Food,['Cooking Southern Soul Food']
classic rock listening,['classic rock listening']
Hosting dinner parties,['Hosting dinner parties']
Reading whimsical books,['Reading whimsical books']
Attending church and cultural events,"['Attending church and cultural events', 'Attending church services and community events', 'Attending church services and cultural festivals']"
Traveling,"['Traveling', '3D modeling']"
Karaoke nights,['Karaoke nights']
"Puzzle solving (Escape rooms, Sudoku)","['Puzzle solving (Escape rooms, Sudoku)']"
Mentoring robotics students,['Mentoring robotics students']
"Participating in language‑exchange meetups (Uzbek, Russian, Spanish)","['Participating in language‑exchange meetups (Uzbek, Russian, Spanish)']"
Volunteering at the county library (book shelving),['Volunteering at the county library (book shelving)']
Stacking ring toys,['Stacking ring toys']
Beach Walks & Swimming,['Beach Walks & Swimming']
Knitting scarves and blankets,['Knitting scarves and blankets']
Experimental cooking (Italian cuisine),['Experimental cooking (Italian cuisine)']
Folk and tribal music listening,"['Folk and tribal music listening', 'Listening to R&B and gospel music']"
Volunteer at local library (tech workshops),['Volunteer at local library (tech workshops)']
Photography of cityscapes and nature,"['Photography of architecture and nature', 'Photography of cityscapes and nature']"
Book Club (Mystery Novels),['Book Club (Mystery Novels)']
Hiking in Michigan state parks,"['Hiking in Wisconsin state parks', 'Hiking in Michigan state parks']"
Cooking Mexican cuisine,"['Cooking Mexican cuisine', 'Cooking Mexican Cuisine']"
Live theater,"['Live theater', 'Improv theater']"
Oil Painting,['Oil Painting']
Exploring tide pools,['Exploring tide pools']
Hiking in the Santa Lucia foothills,['Hiking in the Santa Lucia foothills']
Learning new languages,['Learning new languages']
Photography (landscape and food),"['Landscape and machinery photography', 'Photography (landscape and food)']"
Volunteering for community STEM outreach,['Volunteering for community STEM outreach']
reading multicultural literature,['reading multicultural literature']
Soccer (community league),"['Soccer (community league)', 'Community baseball league']"
College football watching,"['College football watching', 'Watching college football and LSU Tigers']"
Strategy video gaming,"['Strategy video gaming', 'Strategic video gaming', 'Playing strategy video games']"
River trail walking,['River trail walking']
Visiting art galleries and street murals,"['Visiting art galleries and street murals', 'Visiting small art galleries and indie music venues', 'Visiting local art galleries and museums']"
volunteering for financial‑literacy workshops,"['volunteering for financial‑literacy workshops', 'Volunteering for financial literacy workshops']"
Attending jazz and folk concerts,['Attending jazz and folk concerts']
Cooking with locally sourced ingredients,['Cooking with locally sourced ingredients']
Volunteering as a STEM mentor,['Volunteering as a STEM mentor']
Road‑Trip Landscape Photography,['Road‑Trip Landscape Photography']
Pickup basketball,"['Pickup basketball', 'Playing pickup basketball']"
Improv comedy,"['Improv comedy', 'Improv comedy workshops']"
playing piano,"['Playing tennis', 'playing piano', 'Playing chess', 'playing chess', 'Playing piano', 'Playing soccer']"
volunteering at the library,"['Volunteering at the community library', 'volunteering at the local library', 'volunteering at the library']"
Hiking in Hill Country,['Hiking in Hill Country']
Learning basic Spanish phrases,['Learning basic Spanish phrases']
Classic rock vinyl collection,['Classic rock vinyl collection']
Craft-beer tasting,['Craft-beer tasting']
"Reading chapter‑book series (e.g., Magic Tree House)","['Reading chapter‑book series (e.g., Magic Tree House)']"
"Structured playground games (Simon Says, Red Light/Green Light)","['Structured playground games (Simon Says, Red Light/Green Light)']"
Playing cards and board games,['Playing cards and board games']
Reading fantasy/adventure books,['Reading fantasy/adventure books']
Photography (industrial and urban),['Photography (industrial and urban)']
Home cooking and baking,['Home cooking and baking']
Zumba class,"['Zumba class', 'Zumba classes']"
Coding simple games (Python),['Coding simple games (Python)']
Digital photography of coastal and urban scenes,['Digital photography of coastal and urban scenes']
Jigsaw and logic puzzles,['Jigsaw and logic puzzles']
Assisting in the kitchen,['Assisting in the kitchen']
Fishing at local lakes,['Fishing at local lakes']
reading economics and technology non‑fiction,['reading economics and technology non‑fiction']
Cooking experimental dishes,"['Cooking experimental dishes', 'Cooking experimental recipes']"
Hip‑hop and R&B concerts,['Hip‑hop and R&B concerts']
Indie game jam involvement,['Indie game jam involvement']
Podcast Listening (Psychology & Entrepreneurship),['Podcast Listening (Psychology & Entrepreneurship)']
coding with Python,['coding with Python']
Quilting circle,['Quilting circle']
Salsa and bachata dancing,['Salsa and bachata dancing']
Exploring Portland food trucks,['Exploring Portland food trucks']
Listening to Southeast Asian and jazz music,['Listening to Southeast Asian and jazz music']
Wine tasting and vineyard tours,['Wine tasting and vineyard tours']
"Classic country, folk, and jazz music","['Classic country, folk, and jazz music']"
Cooking fusion dishes,['Cooking fusion dishes']
"Strategic Board Games (e.g., Chess, Settlers of Catan)","['Strategic Board Games (e.g., Chess, Settlers of Catan)']"
Popular science reading,['Popular science reading']
Car modification and car meets,['Car modification and car meets']
Cooking and exploring Caribbean and Southern cuisines,['Cooking and exploring Caribbean and Southern cuisines']
DIY home improvement projects,"['DIY home improvement projects', 'DIY mechanical and home improvement projects']"
basketball,"['basketball', 'Basketball']"
Hackathons,['Hackathons']
Walking by the Milwaukee Lakefront,['Walking by the Milwaukee Lakefront']
Jazz and hip‑hop music,['Jazz and hip‑hop music']
Jazz concerts,['Jazz concerts']
Watercolor painting,"['Sketching and watercolor painting', 'Drawing and watercolor painting', 'Watercolor painting']"
Tabletop RPGs,['Tabletop RPGs']
Farm‑to‑table cooking,['Farm‑to‑table cooking']
Practicing calligraphy,['Practicing calligraphy']
Cooking and hosting potluck dinners,['Cooking and hosting potluck dinners']
Attending high-school sports events,['Attending high-school sports events']
Traveling to European cultural festivals,['Traveling to European cultural festivals']
Reading business and technology books,"['Reading business and self-improvement books', 'Reading business and technology books']"
Arduino tinkering,['Arduino tinkering']
Listening to South Asian classical and ambient electronic music,['Listening to South Asian classical and ambient electronic music']
"Reading non-fiction on engineering, sustainability, and technology","['Reading non-fiction on engineering, sustainability, and technology']"
Walking at local farmers’ market,['Walking at local farmers’ market']
TikTok video creation,['TikTok video creation']
observing insects,['observing insects']
reading mystery novels,['reading mystery novels']
Cooking Creole family recipes,['Cooking Creole family recipes']
Reading historical fiction and biographies,"['Reading historical fiction and local Idaho history', 'Reading historical fiction and biographies']"
educational tablet games,"['Playing educational tablet games', 'educational tablet games']"
Playing chess and solving puzzles,['Playing chess and solving puzzles']
Digital Graphic Design,['Digital Graphic Design']
Line dancing and karaoke,['Line dancing and karaoke']
Attending food festivals,"['Attending local festivals', 'Attending food festivals', 'Attending cultural festivals']"
Live concert attendance,['Live concert attendance']
Abstract Painting,"['Abstract Painting', 'Abstract painting']"
Soccer (team sport),['Soccer (team sport)']
"Gardening (herbs, tropical plants)","['Gardening (herbs, tropical plants)']"
Dancing (Mariachi & Salsa),['Dancing (Mariachi & Salsa)']
Boxing training and jogging,['Boxing training and jogging']
Stargazing,['Stargazing']
Skateboarding,['Skateboarding']
quilt making,['quilt making']
Dancing (salsa/hip hop),['Dancing (salsa/hip hop)']
Live Blues & Gospel Concerts,['Live Blues & Gospel Concerts']
Photography of urban and natural scenes,"['Photography of urban and natural scenes', 'Photography of street and desert scenes']"
Cycling along the beach,['Cycling along the beach']
writing short stories,['writing short stories']
"Puzzle Solving (Crosswords, Sudoku)","['Puzzle Solving (Crosswords, Sudoku)', 'Puzzle solving (crosswords, Sudoku)', 'Solving crosswords and Sudoku puzzles']"
Puzzle solving,"['Puzzle solving', 'puzzle solving']"
Travel to Mexico,['Travel to Mexico']
playing Minecraft,"['playing Minecraft', 'Playing Minecraft']"
Model railroading,['Model railroading']
Dance Cardio Fitness,['Dance Cardio Fitness']
Volunteer tutoring,"['Volunteer mentoring', 'Volunteer tutoring']"
Cooking Colombian Dishes,['Cooking Colombian Dishes']
Movie gatherings,['Movie gatherings']
Organized playground games,['Organized playground games']
Playing cricket in a local league,['Playing cricket in a local league']
Visiting local museum exhibitions,['Visiting local museum exhibitions']
Running around Lake Mendota,['Running around Lake Mendota']
Local history,"['Local history', 'Local history research']"
Book club membership,['Book club membership']
Folkloric Dance,['Folkloric Dance']
Board Games (Strategy),['Board Games (Strategy)']
Hiking and biking in the James River Park System,['Hiking and biking in the James River Park System']
Community festivals,['Community festivals']
Restorative yoga,['Restorative yoga']
Reading non-fiction,['Reading non-fiction']
Cooking Southern and Creole dishes,['Cooking Southern and Creole dishes']
"Competitive gaming (League of Legends, StarCraft II)","['Competitive gaming (League of Legends, StarCraft II)']"
Community storytelling events,['Community storytelling events']
Walking her dog,['Walking her dog']
Cooking fusion South Asian cuisine,['Cooking fusion South Asian cuisine']
Building LEGO constructions,['Building LEGO constructions']
Robotics club,['Robotics club']
volunteering at senior center,"['volunteering at senior center', 'Volunteering at senior center', 'Community senior-center volunteering']"
Participating in community cultural festivals and cooking simple family dishes,['Participating in community cultural festivals and cooking simple family dishes']
Hiking in Angeles National Forest,['Hiking in Angeles National Forest']
Attending craft-brew tastings,['Attending craft-brew tastings']
Volunteering at youth art programs,"['Volunteering at youth art programs', 'Volunteering at youth mentorship programs']"
Exploring local river and hiking trails with photography,['Exploring local river and hiking trails with photography']
Solo hiking,['Solo hiking']
Volunteering at health fairs,['Volunteering at health fairs']
organizing neighborhood potlucks,['organizing neighborhood potlucks']
Cooking traditional Vietnamese cuisine,['Cooking traditional Vietnamese cuisine']
Poetry writing,['Poetry writing']
Amateur astronomy,['Amateur astronomy']
stacking and sorting blocks,['stacking and sorting blocks']
African‑American cultural festivals,['African‑American cultural festivals']
Photography of local festivals,['Photography of local festivals']
Volunteer Home Painting,['Volunteer Home Painting']
reading sci‑fi novels,"['Reading sci‑fi/fantasy novels', 'reading sci‑fi novels']"
Tech meetups and conferences,"['Attending tech meetups and conferences', 'Tech meetups and conferences']"
Chess,['Chess']
Nature walks and leaf collecting,['Nature walks and leaf collecting']
Motorcycle restoration,['Motorcycle restoration']
Toastmasters/Public Speaking,['Toastmasters/Public Speaking']
Volunteering at school events,['Volunteering at school events']
Personal‑growth reading,['Personal‑growth reading']
Community clean‑up volunteering,['Community clean‑up volunteering']
Improvisational theater,['Improvisational theater']
playing pretend with dolls,['playing pretend with dolls']
Playing acoustic guitar,"['Playing acoustic guitar', 'Acoustic guitar playing']"
Cooking soul food with modern twists,"['Cooking soul‑food with healthy twists', 'Cooking soul food with modern twists']"
Attending small church gatherings,['Attending small church gatherings']
Fishing at Lake Ouachita,['Fishing at Lake Ouachita']
Attending jazz and spoken-word performances,['Attending jazz and spoken-word performances']
gardening and growing herbs,['gardening and growing herbs']
Reading speculative fiction and philosophy,"['Reading speculative fiction and philosophy', 'Reading speculative fiction and design magazines']"
Puzzle‑focused video games,['Puzzle‑focused video games']
Reading mystery novels and African‑American biographies,['Reading mystery novels and African‑American biographies']
Popular‑science books,['Popular‑science books']
Reading health‑related articles and podcasts,['Reading health‑related articles and podcasts']
Smart‑home technology exploration,['Smart‑home technology exploration']
Traditional Mexican cooking,"['Traditional Mexican cooking', 'Traditional Mexican Cooking', 'Traditional Honduran Cooking']"
Cooking and baking new recipes,"['Cooking and exploring new recipes', 'Cooking and baking new recipes']"
Drawing mandalas and coloring books,['Drawing mandalas and coloring books']
"Outdoor sensory exploration (crawling, grass, textures)","['Outdoor sensory exploration (crawling, grass, textures)']"
Experimenting with fusion cooking,['Experimenting with fusion cooking']
Participating in after‑school art club,['Participating in after‑school art club']
Bridge (card game) with a small group,"['Card games with a small group of friends', 'Bridge (card game) with a small group']"
Mentoring underrepresented youth in tech,['Mentoring underrepresented youth in tech']
Imitative play (copying gestures/words),['Imitative play (copying gestures/words)']
Volunteer tutoring seniors on technology,['Volunteer tutoring seniors on technology']
One‑on‑one math tutoring,['One‑on‑one math tutoring']
photography of everyday life,['photography of everyday life']
Cooking Goan and Punjabi cuisine,['Cooking Goan and Punjabi cuisine']
attending church events,"['attending church events', 'attending church services']"
Yoga practice,['Yoga practice']
Volunteer STEM outreach,['Volunteer STEM outreach']
Hopscotch and tag,['Hopscotch and tag']
Woodworking and DIY home improvement,['Woodworking and DIY home improvement']
Generative Digital Art,['Generative Digital Art']
Birdwatching and species logging,['Birdwatching and species logging']
DIY Electronics (Arduino/Raspberry Pi),['DIY Electronics (Arduino/Raspberry Pi)']
Raised-bed gardening,['Raised-bed gardening']
Hiking in the Colorado mountains,['Hiking in the Colorado mountains']
Logic grid puzzles,['Logic grid puzzles']
